prc,qty,asian,mon,tues,wed,thurs,speed2,wave2,speed3,wave3,t
.6222222,1875,1,1,0,0,0,15,7.5,20,9,1
.9722222,2900,1,0,0,1,0,10,5,20,7.5,2
1.233333,770,1,0,0,0,1,10,6,20,4,3
1.928571,927,1,0,0,0,0,15,6,20,5,4
.803125,4220,1,1,0,0,0,10,3.5,20,3.5,5
.8818182,4230,1,0,1,0,0,15,4.5,15,3.5,6
.76875,3079,1,0,0,1,0,10,4.5,20,3.5,7
.83,945,1,0,0,0,1,10,4,20,4.5,8
.6892857,7925,1,0,0,0,0,10,4,15,4.5,9
1.474074,4895,1,1,0,0,0,20,12.5,20,3.5,10
1.616667,1275,1,0,1,0,0,15,9,45,12.5,11
1.45,1834,1,0,0,1,0,15,7.5,30,12.5,12
1.279167,4295,1,0,0,0,1,10,4.5,25,9,13
1.216667,3120,1,0,0,0,0,10,4.5,20,7.5,14
.89,4165,1,1,0,0,0,10,6,25,4,15
.83,3250,1,0,1,0,0,10,4,25,6,16
1.278571,1730,1,0,0,1,0,15,8,15,6,17
1.083333,1245,1,0,0,0,1,15,8,20,4,18
1.0625,540,1,0,0,0,0,15,7.5,35,8,19
1,110,1,1,0,0,0,20,5.5,20,5,20
1.25,450,1,0,1,0,0,15,5.5,30,4.5,21
.925,1670,1,0,0,1,0,10,3,25,5.5,22
.5958334,5010,1,0,0,0,1,10,3.5,20,5.5,23
.5,3785,1,0,0,0,0,10,5,20,3,24
.425,1940,1,1,0,0,0,15,5.5,35,6,25
.5,1680,1,0,1,0,0,15,4,20,6,26
.5583333,1145,1,0,0,1,0,15,3,25,5.5,27
.5142857,2120,1,0,0,0,1,10,2.5,15,4,28
.5833334,1690,1,0,0,0,0,10,2.5,15,3,29
.6590909,4805,1,1,0,0,0,25,8,20,3,30
.3666667,1010,1,0,1,0,0,15,8,35,8,31
.5125,585,1,0,0,1,0,12,6.5,35,8,32
1.4875,2300,1,0,0,0,1,12,6.5,25,8,33
1.432143,1885,1,0,0,0,0,10,6.5,18,6.5,34
1.386667,2090,1,1,0,0,0,15,6.5,20,3.5,35
1.55,330,1,0,1,0,0,10,6.5,25,5,36
1.196154,3040,1,0,0,1,0,10,4.5,30,6.5,37
.95,4190,1,0,0,0,1,15,4.5,15,6.5,38
.515625,7420,1,0,0,0,0,10,5,20,4.5,39
.4083333,6435,1,0,1,0,0,10,4.5,20,3,40
.2666667,1430,1,0,0,1,0,10,5,25,4.5,41
.3571429,1580,1,0,0,0,1,12,5,15,4.5,42
.4214286,4195,1,0,0,0,0,12,4,18,5,43
.4666667,1020,1,1,0,0,0,5,4,20,4,44
.4333333,1220,1,0,1,0,0,10,5.5,10,3.5,45
.7928572,1570,1,0,0,1,0,15,6,15,4,46
1.183333,550,1,0,0,0,1,15,8,25,5.5,47
1.33125,1140,1,0,0,0,0,15,8,25,6,48
1.133333,1040,1,1,0,0,0,15,6,20,4,49
1.041667,410,1,0,1,0,0,10,4.5,30,6,50
.773077,4320,1,0,0,1,0,10,4.5,15,6,51
.7833334,3440,1,0,0,0,1,5,4,20,4.5,52
.5857143,3620,1,0,0,0,0,5,3.5,20,4.5,53
.4125,2800,1,1,0,0,0,10,5.5,15,3.5,54
.6,5940,1,0,1,0,0,10,3.5,30,5.5,55
.7722222,2320,1,0,0,1,0,10,5,15,5.5,56
.7166667,3075,1,0,0,0,1,20,6.5,15,3.5,57
.6833333,1120,1,0,0,0,0,25,6.5,25,5,58
.6,1560,1,1,0,0,0,15,3.5,20,6.5,59
.5083333,3380,1,0,1,0,0,15,4,20,4,60
.9166667,630,1,0,0,1,0,15,5,20,3.5,61
1.083333,1500,1,0,0,0,1,10,5,15,4,62
.6,1460,1,0,0,0,0,10,8,25,5,63
.7,335,1,1,0,0,0,5,3,18,8,64
.74,1420,1,0,1,0,0,5,7,20,3.5,65
.62,1530,1,0,0,1,0,15,7,10,3,66
.6117647,4440,1,0,0,0,1,10,4,25,7,67
.8071429,1530,1,0,0,0,0,10,5,20,7,68
1.15,660,1,1,0,0,0,25,8,35,6.5,69
.9,360,1,0,1,0,0,10,6.5,35,8,70
.8,3440,1,0,0,1,0,10,4,35,8,71
.63125,3270,1,0,0,0,1,10,4,15,6.5,72
.5266666,6190,1,0,0,0,0,10,4,15,4,73
.65,1482,1,1,0,0,0,10,4,20,4,74
