orig_id,dest_id,shipments,dist,oinc,oarea,opop,odens,ocap,o65,ocoll,ogen,dinc,darea,dpop,ddens,d65,dcoll,dcap,tax,dregion,year
1,1,10285132,0,23.597,.05075,4.041,79.62562,1.102672,13,10.1,16.92616,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
2,1,37429.082,357.5077,21.147,.052075,2.351,45.14642,.834602,15,8.9,16.37495,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
3,1,0,1418.295,27.54,.113642,3.664,32.2416,2.258579,13.4,13.3,14.33704,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
4,1,0,1945.271,35.798,.155973,29.76,190.8023,2.258579,10.6,15.3,17.18824,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
5,1,250.00002,1129.195,30.14,.103729,3.294,31.75583,2.258579,10,18,15.40201,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
6,1,5580.9977,977.907,41.721,.004845,3.287,678.4314,.439263,14.1,16.2,16.54562,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
7,1,10330.998,760.9162,34.875,.001955,.666,340.6649,0,12.4,13.7,14.82552,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
8,1,855489.27,361.1705,27.483,.053997,12.938,239.6059,.347235,18.6,12,16.62293,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
9,1,3305967.4,181.4277,29.021,.057919,6.478,111.8459,.400421,10.1,12.9,17.13784,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
10,1,608588.95,733.1555,26.229,.055875,2.777,49.70022,.121515,15.5,11.7,15.46275,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
11,1,0,1687.797,25.257,.082751,1.007,12.16904,2.258579,11.8,12.4,12.8422,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
12,1,980501.03,500.8531,32.252,.055593,11.431,205.6194,2.66384,12.6,13.6,17.92694,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
13,1,233203.26,482.2823,28.797,.03587,5.544,154.5581,6.426348,12.7,9.2,17.8494,23.597,.05075,4.041,79.62562,13,10.1,1.102672,10,"south",1989
