sid,year,aid,log_salary_governor_gbp,log_rev_total_gbp,log_rev_customs_gbp,log_rev_internal_gbp,log_exp_total_gbp,log_exp_tax_gbp,log_exp_pubworks_gbp,log_population_imputed,shared_ancestry,both_arist,both_oxbridge,both_eton,connected,age_entry,cambridge,oxford,eton,peerage,civilservant,politician,military,ordinance_total,ordinance_health,ordinance_education,ordinance_pubworks,ordinance_welfare,ordinance_tax,ordinance_trade,customs_exemptions,social_unrest,hansard_mention,polarity,award_highest,log_dist_london,area_tropics,logem4,sum_d_pre_post,post1930,tenure_aid,landlocked,quinquennial,decade,bilateral,no_colonies,duration,state_aid,min_year,min_revenue,full,post1930_connected,connected_year1930,tenure
"Aden",1938,"Bernard Rawdon Reilly",8.086411,11.90891,,,11.79066,,,11.057633,0,0,0,0,0,55,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,-.042012,0,8.206037,0,,,1,2,0,1935,1930,245,1,1,1,1937,11.90891,0,0,0,1
"Aden",1937,"Bernard Rawdon Reilly",8.086411,,,,,,,11.011717,0,0,0,0,0,55,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,.170536,0,8.206037,0,,,1,2,0,1935,1930,245,1,0,1,1937,11.90891,0,0,0,0
"Aden",1939,"Bernard Rawdon Reilly",8.086411,,,,,,,11.103549,0,0,0,0,0,55,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,-.057293,0,8.206037,0,,,1,2,0,1935,1930,244,1,2,1,1937,11.90891,0,0,0,2
"Aden",1944,"John Hathorn Hall",8.086411,,,,,,,11.333127,0,0,0,0,0,46,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,.042788,0,8.206037,0,,,1,11,0,1940,1940,1567,1,4,2,1940,11.90891,0,0,0,4
"Aden",1941,"John Hathorn Hall",8.086411,,,,,,,11.19538,0,0,0,0,0,46,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,.48876,0,8.206037,0,,,1,11,0,1940,1940,1568,1,1,2,1940,11.90891,0,0,0,1
"Aden",1942,"John Hathorn Hall",8.086411,,,,,,,11.241296,0,0,0,0,0,46,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,.200268,0,8.206037,0,,,1,11,0,1940,1940,1568,1,2,2,1940,11.90891,0,0,0,2
"Aden",1940,"John Hathorn Hall",8.086411,,,,,,,11.149464,0,0,1,0,1,46,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,.25346,0,8.206037,0,,,1,11,0,1940,1940,1565,1,0,2,1940,11.90891,0,1,10,0
"Aden",1943,"John Hathorn Hall",8.086411,,,,,,,11.287211,0,0,0,0,0,46,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,-.01644,0,8.206037,0,,,1,11,0,1940,1940,1567,1,3,2,1940,11.90891,0,0,0,3
"Aden",1946,"Reginald Stuart Champion",8.086411,,,,,,,11.424958,0,0,0,0,0,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,.093151,0,8.206037,0,,,1,5,0,1945,1940,1963,1,1,3,1945,11.90891,0,0,0,1
"Aden",1947,"Reginald Stuart Champion",8.086411,,,,,,,11.470874,0,0,0,0,0,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,.045711,0,8.206037,0,,,1,5,0,1945,1940,1962,1,2,3,1945,11.90891,0,0,0,2
"Aden",1948,"Reginald Stuart Champion",8.086411,,,,,,,11.51679,0,0,0,0,0,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,-.042658,0,8.206037,0,,,1,5,0,1945,1940,1962,1,3,3,1945,11.90891,0,0,0,3
"Aden",1945,"Reginald Stuart Champion",8.086411,,,,,,,11.379043,0,0,0,0,0,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,-.015768,0,8.206037,0,,,1,5,0,1945,1940,1965,1,0,3,1945,11.90891,0,0,0,0
"Aden",1949,"Reginald Stuart Champion",8.086411,,,,,,,11.562706,0,0,0,0,0,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,.045844,0,8.206037,0,,,1,5,0,1945,1940,1962,1,4,3,1945,11.90891,0,0,0,4
"Aden",1950,"Reginald Stuart Champion",8.086411,,,,,,,11.608621,0,0,0,0,0,50,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,.081641,0,8.206037,0,,,1,5,0,1950,1950,1964,1,5,3,1945,11.90891,0,0,0,5
"Aden",1951,"Tom Hickinbotham",8.433811,,,,,,,11.654537,0,0,0,0,0,48,0,0,,0,1,0,1,0,0,0,0,0,0,0,,0,1,-.021812,0,8.206037,0,,,1,4,0,1950,1950,2255,1,0,4,1951,11.90891,0,0,0,0
"Aden",1955,"Tom Hickinbotham",8.433811,14.93047,,,14.80599,,,11.8382,0,0,0,0,0,48,0,0,,0,1,0,1,,,,,,,,,0,1,-.048375,0,8.206037,0,,0,1,4,0,1955,1950,2254,1,4,4,1951,11.90891,1,0,0,4
"Aden",1953,"Tom Hickinbotham",8.433811,,,,,,,11.746368,0,0,0,0,0,48,0,0,,0,1,0,1,0,0,0,0,0,0,0,,0,1,.028993,0,8.206037,0,,,1,4,0,1950,1950,2255,1,2,4,1951,11.90891,0,0,0,2
"Aden",1952,"Tom Hickinbotham",8.433811,,,,,,,11.700453,0,0,0,0,0,48,0,0,,0,1,0,1,0,0,0,0,0,0,0,,0,1,.056433,0,8.206037,0,,,1,4,0,1950,1950,2255,1,1,4,1951,11.90891,0,0,0,1
"Aden",1954,"Tom Hickinbotham",8.433811,14.85005,,,14.8902,,,11.792284,0,0,0,0,0,48,0,0,,0,1,0,1,,,,,,,,,0,1,-.040203,0,8.206037,0,,0,1,4,0,1950,1950,2255,1,3,4,1951,11.90891,1,0,0,3
"Aden",1958,"William Henry Tucker Luce",8.656955,15.3983,,,15.28722,,,,1,0,0,0,1,49,1,0,0,0,1,0,0,,,,,,,,,0,1,-.013488,0,8.206037,0,,0,1,3,0,1955,1950,2375,1,2,5,1956,11.90891,1,1,28,2
"Aden",1956,"William Henry Tucker Luce",8.656955,15.17947,,,15.15028,,,,1,0,0,0,1,49,1,0,0,0,1,0,0,,,,,,,,,0,1,.026668,0,8.206037,0,,0,1,3,0,1955,1950,2375,1,0,5,1956,11.90891,1,1,26,0
"Aden",1959,"William Henry Tucker Luce",8.656955,15.17352,13.97824,14.8131,15.15923,,,,0,0,1,0,1,49,1,0,0,0,1,0,0,,,,,,,,,0,1,.058732,0,8.206037,0,,0,1,3,0,1955,1950,2376,1,3,5,1956,11.90891,1,1,29,3
"Aden",1957,"William Henry Tucker Luce",8.656955,15.17433,,,15.19107,,,,1,0,0,0,1,49,1,0,0,0,1,0,0,,,,,,,,,0,1,.023015,0,8.206037,0,,0,1,3,0,1955,1950,2375,1,1,5,1956,11.90891,1,1,27,1
"Aden",1963,"Charles Hepburn Johnston",8.824677,15.2403,,,15.18141,,,,0,0,1,0,1,48,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,.052114,0,8.206037,0,,0,1,3,0,1960,1960,375,1,3,6,1960,11.90891,1,1,33,3
"Aden",1960,"Charles Hepburn Johnston",8.824677,15.2895,,,15.28444,,,,0,0,0,0,0,48,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,.066262,0,8.206037,0,,0,1,3,0,1960,1960,376,1,0,6,1960,11.90891,1,0,0,0
"Aden",1962,"Charles Hepburn Johnston",8.824677,15.52977,,,15.51575,,,,0,0,1,0,1,48,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,-.196734,0,8.206037,0,,0,1,3,0,1960,1960,377,1,2,6,1960,11.90891,1,1,32,2
"Aden",1961,"Charles Hepburn Johnston",8.824677,15.36246,,,15.36601,,,,0,0,1,0,1,48,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,.101674,0,8.206037,0,,0,1,3,0,1960,1960,377,1,1,6,1960,11.90891,1,1,31,1
"Antigua",1854,"Robert James Mackintosh",8.006368,10.14917,9.978873,8.295047,10.07015,,7.425954,10.530212,0,0,0,0,0,41,0,,0,0,1,0,0,0,0,0,0,0,0,0,,1,1,.494123,0,8.316756,1,,,0,4,0,1854,1854,2053,2,4,14,1847,9.395741,0,0,0,4
"Antigua",1853,"Robert James Mackintosh",8.006368,10.06088,9.874831,8.287527,10.22716,,,10.557972,0,0,0,0,0,41,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,8.316756,1,,,0,4,0,,,2053,2,3,14,1847,9.395741,0,0,0,3
"Antigua",1850,"Robert James Mackintosh",8.006368,9.983407,9.801843,8.187853,9.935083,,,10.496206,0,0,0,0,0,41,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,8.316756,1,,,0,4,0,,,2052,2,0,14,1847,9.395741,0,0,0,0
"Antigua",1851,"Robert James Mackintosh",8.006368,9.993693,9.82747,8.117311,9.956365,,,10.522342,0,0,0,0,0,41,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,8.316756,1,,,0,4,0,,,2052,2,1,14,1847,9.395741,0,0,0,1
"Antigua",1852,"Robert James Mackintosh",8.006368,10.134,9.969322,8.24905,9.999979,,,10.540157,0,0,0,0,0,41,0,,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,,0,8.316756,1,,,0,4,0,,,2054,2,2,14,1847,9.395741,0,0,0,2
"Antigua",1862,"Ker Baillie Hamilton",8.006368,10.62294,10.30949,9.310188,10.56939,,7.918265,10.51235,1,0,0,0,1,42,0,0,0,0,1,0,1,,,,,,,,,0,1,.862993,0,8.316756,1,,0,0,12,0,1860,1860,1755,2,6,15,1846,9.395741,1,0,-68,12
"Antigua",1856,"Ker Baillie Hamilton",8.006368,10.51034,10.12515,9.369906,10.31042,,7.713785,10.474693,1,0,0,0,1,42,0,0,0,0,1,0,1,,,,,,,,,1,0,,0,8.316756,1,,0,0,12,0,1854,1854,1754,2,1,15,1846,9.395741,1,0,-74,6
"Antigua",1855,"Ker Baillie Hamilton",8.006368,10.11427,9.900383,8.46695,10.20987,,8.01036,10.502453,1,0,0,0,1,42,0,0,0,0,1,0,1,,,,,,,,,1,0,,0,8.316756,1,,0,0,12,0,1854,1854,1758,2,0,15,1846,9.395741,1,0,-75,5
"Antigua",1860,"Ker Baillie Hamilton",8.006368,10.62294,10.41283,8.95957,10.43253,,7.643962,10.49837,1,0,0,0,1,42,0,0,0,0,1,0,1,,,,,,,,,0,0,,0,8.316756,1,,0,0,12,0,1860,1860,1755,2,5,15,1846,9.395741,1,0,-70,10
"Antigua",1857,"Ker Baillie Hamilton",8.006368,10.44054,10.09823,9.202209,10.55242,,7.718241,10.474693,1,0,0,0,1,42,0,0,0,0,1,0,1,,,,,,,,,1,0,,0,8.316756,1,,0,0,12,0,1854,1854,1754,2,2,15,1846,9.395741,1,0,-73,7
"Antigua",1859,"Ker Baillie Hamilton",8.006368,10.54202,10.23513,9.21124,10.42246,,7.592366,10.474693,1,0,0,0,1,42,0,0,0,0,1,0,1,,,,,,,,,1,0,,0,8.316756,1,,0,0,12,0,1854,1854,1755,2,4,15,1846,9.395741,1,0,-71,9
"Antigua",1858,"Ker Baillie Hamilton",8.006368,10.59818,10.35666,9.059053,10.5913,,7.990915,10.474693,1,0,0,0,1,42,0,0,0,0,1,0,1,,,,,,,,,1,0,,0,8.316756,1,,0,0,12,0,1854,1854,1754,2,3,15,1846,9.395741,1,0,-72,8
"Antigua",1861,"Ker Baillie Hamilton",8.006368,10.54202,10.30005,9.004542,10.57029,,8.041091,10.522046,1,0,0,0,1,42,0,0,0,0,1,0,1,,,,,,,,,1,0,,0,8.316756,1,,0,0,12,0,1860,1860,1755,2,6,15,1846,9.395741,1,0,-69,11
"Antigua",1863,"Stephen John Hill",8.006368,10.473,10.21211,9.001714,10.47655,,7.720905,10.502654,0,0,0,0,0,42,0,0,,0,1,0,1,,,,,,,,,0,0,,0,8.316756,1,,0,0,24,0,1860,1860,2182,3,0,16,1851,9.395741,1,0,0,12
"Antigua",1867,"Stephen John Hill",8.006368,10.60587,10.0218,9.790264,10.54747,,7.655864,10.488871,0,0,0,0,0,42,0,0,,0,1,0,1,,,,,,,,,1,1,.219105,0,8.316756,1,,0,0,24,0,1865,1860,2185,3,4,16,1851,9.395741,1,0,0,16
